県,学校コード,学校名,学科,募集人員,出願者数,倍率,区分,公表日,出典URL,確認日,前年度倍率,前年度差
千葉県,D112210000182,千葉県立千葉西高等学校,普通科,320,356,1.11,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.15,-0.04
千葉県,D112210000191,千葉県立犢橋高等学校,普通科,200,193,0.97,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.19,-0.22
千葉県,D112210000841,千葉県立八千代高等学校,普通科,240,338,1.41,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.54,-0.13
千葉県,D112210000841,千葉県立八千代高等学校,家政科,40,35,0.88,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.15,-0.27
千葉県,D112210000841,千葉県立八千代高等学校,体育科,40,42,1.05,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.15,-0.1
千葉県,D112210000850,千葉県立八千代東高等学校,普通科,200,184,0.92,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.03,-0.11
千葉県,D112210000869,千葉県立八千代西高等学校,普通科,80,61,0.76,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,0.41,0.35
千葉県,D112210000672,千葉県立津田沼高等学校,普通科,320,393,1.23,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.37,-0.14
千葉県,D112210000681,千葉県立実籾高等学校,普通科,320,364,1.14,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.26,-0.12
千葉県,D112210000299,千葉県立船橋高等学校,普通科,320,618,1.93,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.83,0.1
千葉県,D112210000299,千葉県立船橋高等学校,理数科,40,88,2.2,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.65,0.55
千葉県,D112210000306,千葉県立薬園台高等学校,普通科,280,480,1.71,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.66,0.05
千葉県,D112210000306,千葉県立薬園台高等学校,園芸科,40,47,1.18,確定,2026-02-13,https://www.pref.chiba.lg.jp/kyouiku/shidou/nyuushi/koukou/r8/documents/r8kakuteiippan.pdf,2026-07-24,1.2,-0.02
