県,学校コード,学校名,学科,募集人員,出願者数,倍率,区分,公表日,出典URL,確認日,前年度倍率,前年度差
長野県,D120220100135,長野県篠ノ井高等学校犀峡校,普通,33,0,0,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.07,-0.07
長野県,D120220100126,長野市立長野高等学校,総合,45,48,1.07,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.29,-0.22
長野県,D120220100117,長野県長野南高等学校,普通,120,104,0.87,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.08,-0.21
長野県,D120220100064,長野県篠ノ井高等学校,普通,200,198,0.99,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.98,0.01
長野県,D120220100073,長野県更級農業高等学校,地域園芸・植物活用・食農科学（くくり募集）,48,39,0.81,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.17,-0.36
長野県,D120220100082,長野県松代高等学校,普通,61,15,0.25,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.42,-0.17
長野県,D120220100082,長野県松代高等学校,商業,18,3,0.17,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.64,-0.47
長野県,D120221800010,長野県屋代高等学校,普通,160,158,0.99,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.08,-0.09
長野県,D120221800010,長野県屋代高等学校,理数,12,11,0.92,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.67,-0.75
長野県,D120221800029,長野県屋代南高等学校,普通,48,45,0.94,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.69,0.25
長野県,D120221800029,長野県屋代南高等学校,家庭（ライフデザイン）,16,6,0.38,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.81,-0.43
長野県,D120252100012,長野県坂城高等学校,普通,48,16,0.33,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.46,-0.13
長野県,D120220300044,長野県上田千曲高等学校,工業（メカニカル工学）,16,23,1.44,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.81,0.63
長野県,D120220300044,長野県上田千曲高等学校,工業（電気）,16,13,0.81,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.13,-0.32
長野県,D120220300044,長野県上田千曲高等学校,工業（建築）,16,17,1.06,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.06,0
長野県,D120220300044,長野県上田千曲高等学校,商業,16,19,1.19,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.31,-0.12
長野県,D120220300044,長野県上田千曲高等学校,家庭（生活福祉）,16,22,1.38,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.13,0.25
長野県,D120220300044,長野県上田千曲高等学校,家庭（食物栄養）,16,22,1.38,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.06,0.32
長野県,D120220300017,長野県上田高等学校,普通,280,279,1,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.04,-0.04
長野県,D120220300026,長野県上田染谷丘高等学校,普通,240,254,1.06,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.2,-0.14
長野県,D120220300026,長野県上田染谷丘高等学校,国際教養,8,10,1.25,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1,0.25
長野県,D120220300035,長野県上田東高等学校,普通,240,255,1.06,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,1.01,0.05
長野県,D120220300053,長野県丸子修学館高等学校,総合,101,39,0.39,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.55,-0.16
長野県,D120232400011,長野県蓼科高等学校,普通,51,15,0.29,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,0.16,0.13
長野県,D120220800030,長野県小諸義塾高等学校,普通,60,66,1.1,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,,
長野県,D120220800030,長野県小諸義塾高等学校,商業（ビジネス）,48,49,1.02,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,,
長野県,D120220800030,長野県小諸義塾高等学校,音楽,10,3,0.3,確定,2026-03-05,https://www.pref.nagano.lg.jp/kyoiku/koko/saiyo-nyuushi/shiken/ko/r8/documents/20260305web-teisei.pdf,2026-07-25,,
