区分,学校名,学科名等,実施する検査,選考方法,評価の観点,検査の概要,提出書類
単位制による通信制　普通科,横浜修悠館,普通科,作文,"作文について、観点ごとに評価し点数化する。(Ｗ＝24
点満点)
【選考】
調査書を資料とし、Ｗ値の高い者から総合的に選考す
る。","・本校の特性の理解…(ア)
・高校生活に対する意欲…(イ)
・作文に取り組む姿勢・態度","○ 検査日当日に提示された
２題について、評価の観点
(ア、イ)に基づき記述する。
・検査時間は30分とする。",なし
単位制による通信制　普通科,厚木清南,普通科,作文,"①調査書について
(第２学年の９教科の評定の合計)＋(第３学年の９教科
の評定の合計)で点数化する。(Ｈ＝20点満点に換算す
る。)
②作文について
観点ごとに評価し点数化する。(Ｗ＝60点満点)
【選考】
次の式から算出した数値をＳ値とし、Ｓ値の高い者から
総合的に選考する。
Ｓ(80点満点)＝Ｈ＋Ｗ","・入学希望の理由…(ア)
・本校通信制に対する理解…(イ)
・高校生活に対する意欲…(ウ)","〇 評価の観点(ア～ウ)につ
いて、それぞれ記述する。
・検査時間は30分とする。",なし
