番号,学校名,学科名(系・科),男女,フレックス特別選抜_調査書点,フレックス特別選抜_面接点,フレックス特別選抜_作文点,一般選抜_学力点,一般選抜_調査書点,一般選抜_面接点,特別選抜の定員の割合,学校独自検査_個人面接,学校独自検査_作文,一般選抜_学力検査実施教科,PDFの頁
1,宇都宮清陵高校,普通,男女,200,200,100,300,200,100,50%,○,○,国数英,4
2,鹿沼華陵高校,普通,男女,（斜線）,（斜線）,（斜線）,300,200,100,（斜線）,（斜線）,（斜線）,国数英,4
3,学悠館高校,普通,男女,－,300,200,500,250,250,50%,○,○,国社数理英,4
4,足利工業高校,工業技術,男女,（斜線）,（斜線）,（斜線）,300,200,200,（斜線）,（斜線）,（斜線）,国数英,4
5,真岡高校,普通,男女,（斜線）,（斜線）,（斜線）,300,300,300,（斜線）,（斜線）,（斜線）,国数英,4
6,大田原東高校,普通,男女,（斜線）,（斜線）,（斜線）,300,300,100,（斜線）,（斜線）,（斜線）,国数英,4
7,矢板東高校,普通,男女,（斜線）,（斜線）,（斜線）,300,300,100,（斜線）,（斜線）,（斜線）,国数英,4
